Year,Team,Position,Points,Profit(£),Age,Name,Height(cm)
2020,Everton FC,12,49,128.2,25.5, Sandro,175
2020,Everton FC,12,49,128.2,25.5,Theo Walcott,175
2020,Everton FC,12,49,128.2,25.5,Fabian Delph,174
2020,Newcastle United,13,44,126.0,26.5,Andy Carroll,193
2020,Newcastle United,13,44,126.0,26.5,Kell Watts,192
2020,Newcastle United,13,44,126.0,26.5,Martin Dúbravka,191
2020,Newcastle United,13,44,126.0,26.5,Mark Gillespie,191
2020,Newcastle United,13,44,126.0,26.5,Karl Darlow,190
2020,Newcastle United,13,44,126.0,26.5,Florian Lejeune,190
2020,Newcastle United,13,44,126.0,26.5,Federico Fernández,189
2020,Newcastle United,13,44,126.0,26.5,Elias Sørensen,189
2020,Newcastle United,13,44,126.0,26.5,Jamaal Lascelles,188
2020,Newcastle United,13,44,126.0,26.5,Nabil Bentaleb,187
2020,Newcastle United,13,44,126.0,26.5,Isaac Hayden,187
2020,Newcastle United,13,44,126.0,26.5, Joelinton,186
2020,Newcastle United,13,44,126.0,26.5,Fabian Schär,186
2020,Newcastle United,13,44,126.0,26.5,Lewis Cass,185
2020,Newcastle United,13,44,126.0,26.5,Ciaran Clark,185
2020,Newcastle United,13,44,126.0,26.5,Emil Krafth,184
2020,Newcastle United,13,44,126.0,26.5,Jonjo Shelvey,184
2020,Newcastle United,13,44,126.0,26.5,Paul Dummett,183
2020,Newcastle United,13,44,126.0,26.5,Valentino Lazaro,181
2020,Newcastle United,13,44,126.0,26.5,Sean Longstaff,181
2020,Newcastle United,13,44,126.0,26.5,Rolando Aarons,180
2020,Newcastle United,13,44,126.0,26.5,Yoshinori Mutō,179
2020,Newcastle United,13,44,126.0,26.5, Manquillo,178
2020,Newcastle United,13,44,126.0,26.5,Jack Colback,177
2020,Newcastle United,13,44,126.0,26.5,Henri Saivet,175
2020,Newcastle United,13,44,126.0,26.5,Jack Young,175
2020,Newcastle United,13,44,126.0,26.5,Miguel Almirón,174
