Year,Team,Position,Points,Profit(£),Age,Name,Annual Salary(£)
2016,Arsenal FC,2,71,101.0,27.0,Vermaelen,6237340
2016,Arsenal FC,2,71,101.0,27.0,Ramsey,5720000
2016,Arsenal FC,2,71,101.0,27.0,Cech,5200000
2016,Arsenal FC,2,71,101.0,27.0,Cazorla,5200000
2016,Arsenal FC,2,71,101.0,27.0,Szczesny,5200000
2016,Arsenal FC,2,71,101.0,27.0,Wilshere,4680000
2016,Arsenal FC,2,71,101.0,27.0,Giroud,4160000
2016,Arsenal FC,2,71,101.0,27.0,Debuchy,3900000
2016,Arsenal FC,2,71,101.0,27.0,Mertesacker,3640000
2016,Arsenal FC,2,71,101.0,27.0,Oxlade-Chamberlain,3380000
2016,Arsenal FC,2,71,101.0,27.0,Monreal,3380000
2016,Arsenal FC,2,71,101.0,27.0,Koscielny,3120000
2016,Arsenal FC,2,71,101.0,27.0,Bellerin,2600000
2016,Arsenal FC,2,71,101.0,27.0,Gibbs,2392000
2016,Arsenal FC,2,71,101.0,27.0,Chambers,2340000
2016,Arsenal FC,2,71,101.0,27.0,Jenkinson,2340000
2016,Arsenal FC,2,71,101.0,27.0,Ospina,2080000
2016,Arsenal FC,2,71,101.0,27.0,Iwobi,1560000
2016,Arsenal FC,2,71,101.0,27.0,Coquelin,1560000
2016,Arsenal FC,2,71,101.0,27.0,Campbell,1560000
2016,Arsenal FC,2,71,101.0,27.0,Elneny,1430000
2016,Arsenal FC,2,71,101.0,27.0,Paulista,1300000
2016,Arsenal FC,2,71,101.0,27.0,Akpom,1040000
2016,Arsenal FC,2,71,101.0,27.0,Sanogo,1040000
2016,Arsenal FC,2,71,101.0,27.0,Martinez,520000
2016,Arsenal FC,2,71,101.0,27.0,Macey,520000
2016,Arsenal FC,2,71,101.0,27.0,Zelalem,312000
2016,Arsenal FC,2,71,101.0,27.0,Bielik,208000
2016,Arsenal FC,2,71,101.0,27.0,Reine-Adelaide,104000
2016,Tottenham Hotspur,3,70,95.2,24.5,Son,4420000
2016,Tottenham Hotspur,3,70,95.2,24.5,Lamela,4160000
